,Key,2019-12-30 00:00:00,2019-12-31 00:00:00,2019-12-08 00:00:00,2020-10-01 00:00:00,2020-06-16 00:00:00,2021-12-20 00:00:00,2021-05-09 00:00:00,2021-09-16 00:00:00,2019-11-07 00:00:00,2019-12-13 00:00:00,2019-12-15 00:00:00,2019-04-19 00:00:00,2021-01-02 00:00:00,2021-09-25 00:00:00,2020-09-07 00:00:00,2021-10-26 00:00:00,2019-11-05 00:00:00,2021-10-19 00:00:00,2020-10-03 00:00:00,2020-06-04 00:00:00,2021-11-29 00:00:00,2021-04-22 00:00:00,2021-04-25 00:00:00
0,macron,3.0,,,,,,,,,,,,,,,,,,,,,,
1,macron,,5.0,,,,,,,,,,,,,,,,,,,,,
2,macron,,,7.0,,,,,,,,,,,,,,,,,,,,
3,macron,,,,12.0,,,,,,,,,,,,,,,,,,,
4,macron,,,,,15.0,,,,,,,,,,,,,,,,,,
5,macron,,,,,,17.0,,,,,,,,,,,,,,,,,
6,macron,,,,,,,19.0,,,,,,,,,,,,,,,,
7,macron,,,,,,,,22.0,,,,,,,,,,,,,,,
8,barkhane,,,,,,,,,2.0,,,,,,,,,,,,,,
9,barkhane,,,,,,,,,,4.0,,,,,,,,,,,,,
10,barkhane,,,,,,,,,,,6.0,,,,,,,,,,,,
11,barkhane,,,8.0,,,,,,,,,,,,,,,,,,,,
12,barkhane,,,,,,,,,,,,10.0,,,,,,,,,,,
13,barkhane,,,,,,,,,,,,,12.0,,,,,,,,,,
14,barkhane,,,,,,14.0,,,,,,,,,,,,,,,,,
15,barkhane,,,,,,,,,,,,,,17.0,,,,,,,,,
16,trump,,4.0,,,,,,,,,,,,,,,,,,,,,
17,erdogan,,2.0,,,,,,,,,,,,,,,,,,,,,
18,erdogan,,,,,,,,,,,,,,,9.0,,,,,,,,
19,erdogan,,,,,,,,,,,,,,,,12.0,,,,,,,
20,kadhafi,,,,,,,,,,,,,,,,,2.0,,,,,,
21,kadhafi,,,,,,,,,,,,,,,,,,11.0,,,,,
22,traore,,,,,,,,,,,,,,,,,,,2.0,,,,
23,traore,,,,,4.0,,,,,,,,,,,,,,,,,,
24,traore,,,,,9.0,,,,,,,,,,,,,,,,,,
25,traore,,,,,,,,,,,,,,,,,,,,14.0,,,
26,traore,,,,,,,,,,,,,,,,,,,,,16.0,,
27,traore,,,,,,,,,,,,,,,,,,,,,,18.0,
28,traore,,,,,,,,,,,,,,,,,,,,,,,22.0
